iter	Passed	Remaining
252	27594	136010
253	27705	135908
254	27845	135951
255	27972	135926
256	28080	135813
257	28189	135700
258	28298	135591
259	28405	135474
260	28519	135384
261	28632	135294
262	28745	135204
263	28869	135161
264	28976	135043
265	29087	134941
266	29193	134813
267	29306	134723
268	29416	134617
269	29521	134488
270	29627	134362
271	29743	134283
272	29852	134173
273	29951	134016
274	30052	133868
275	30160	133756
276	30275	133672
277	30385	133566
278	30486	133417
279	30603	133343
280	30716	133249
281	30822	133126
282	30929	133008
283	31051	132952
284	31167	132871
285	31275	132755
286	31378	132620
287	31484	132495
288	31589	132369
289	31689	132219
290	31791	132081
291	31896	131954
292	32006	131850
293	32113	131730
294	32229	131648
295	32351	131590
296	32456	131463
297	32568	131365
298	32675	131248
299	32793	131174
300	32913	131106
301	33018	130980
302	33127	130868
303	33234	130751
304	33341	130632
305	33453	130533
306	33559	130410
307	33683	130360
308	33799	130274
309	33913	130182
310	34024	130081
311	34133	129971
312	34242	129860
313	34353	129757
314	34464	129652
315	34585	129587
316	34704	129510
317	34813	129400
318	34923	129293
319	35033	129184
320	35144	129080
321	35255	128979
322	35363	128861
323	35469	128740
324	35580	128637
325	35690	128528
326	35805	128439
327	35916	128336
328	36025	128223
329	36140	128135
330	36252	128034
331	36364	127933
332	36477	127835
333	36592	127745
334	36700	127629
335	36814	127535
336	36924	127427
337	37033	127316
338	37139	127194
339	37250	127090
340	37369	127011
341	37480	126908
342	37587	126789
343	37700	126691
344	37815	126601
345	37936	126528
346	38065	126481
347	38171	126361
348	38284	126262
349	38398	126166
350	38506	126050
351	38608	125917
352	38717	125802
353	38824	125687
354	38933	125575
355	39046	125474
356	39155	125362
357	39269	125266
358	39382	125167
359	39491	125057
360	39618	124999
361	39724	124879
362	39834	124772
363	39946	124668
364	40053	124551
365	40171	124466
366	40277	124344
367	40400	124276
368	40508	124158
369	40615	124043
370	40724	123929
371	40845	123855
372	40963	123768
373	41077	123672
374	41209	123629
375	41316	123509
376	41427	123402
377	41537	123293
378	41647	123183
379	41766	123101
380	41881	123007
381	41995	122907
382	42102	122788
383	42212	122680
384	42335	122606
385	42448	122507
386	42556	122392
387	42661	122265
388	42763	122135
389	42872	122021
390	42971	121881
391	43098	121819
392	43206	121705
393	43317	121596
394	43429	121492
395	43534	121368
396	43659	121301
397	43765	121178
398	43880	121084
